date,year,month,soi
 1948m3,1948,3,-4
 1948m4,1948,4,3
 1948m5,1948,5,4
 1948m6,1948,6,-5
 1948m7,1948,7,1
 1948m8,1948,8,-4
 1948m9,1948,9,-8
1948m10,1948,10,6
1948m11,1948,11,5
1948m12,1948,12,-6
 1949m1,1949,1,-7
 1949m2,1949,2,2
 1949m3,1949,3,6
 1949m4,1949,4,1
 1949m5,1949,5,-6
 1949m6,1949,6,-12
 1949m7,1949,7,-2
 1949m8,1949,8,-4
 1949m9,1949,9,2
1949m10,1949,10,5
1949m11,1949,11,-6
1949m12,1949,12,8
 1950m1,1950,1,5
 1950m2,1950,2,18
 1950m3,1950,3,18
 1950m4,1950,4,17
 1950m5,1950,5,8
 1950m6,1950,6,27
 1950m7,1950,7,21
 1950m8,1950,8,12
 1950m9,1950,9,7
1950m10,1950,10,17
1950m11,1950,11,13
1950m12,1950,12,23
 1951m1,1951,1,17
 1951m2,1951,2,10
 1951m3,1951,3,-1
 1951m4,1951,4,-1
 1951m5,1951,5,-7
 1951m6,1951,6,5
 1951m7,1951,7,-8
 1951m8,1951,8,-1
 1951m9,1951,9,-7
1951m10,1951,10,-8
1951m11,1951,11,-3
1951m12,1951,12,-3
 1952m1,1952,1,-9
 1952m2,1952,2,-8
 1952m3,1952,3,0
 1952m4,1952,4,-9
 1952m5,1952,5,6
 1952m6,1952,6,7
 1952m7,1952,7,4
 1952m8,1952,8,-4
 1952m9,1952,9,-3
1952m10,1952,10,2
1952m11,1952,11,-1
1952m12,1952,12,-13
 1953m1,1953,1,2
 1953m2,1953,2,-6
 1953m3,1953,3,-6
 1953m4,1953,4,-1
 1953m5,1953,5,-32
 1953m6,1953,6,-2
 1953m7,1953,7,-1
 1953m8,1953,8,-17
 1953m9,1953,9,-13
1953m10,1953,10,0
1953m11,1953,11,-2
1953m12,1953,12,-4
 1954m1,1954,1,6
 1954m2,1954,2,-4
 1954m3,1954,3,-1
 1954m4,1954,4,7
 1954m5,1954,5,4
 1954m6,1954,6,-2
 1954m7,1954,7,4
 1954m8,1954,8,10
 1954m9,1954,9,5
1954m10,1954,10,2
1954m11,1954,11,4
1954m12,1954,12,13
 1955m1,1955,1,-5
 1955m2,1955,2,15
 1955m3,1955,3,3
 1955m4,1955,4,-3
 1955m5,1955,5,13
 1955m6,1955,6,16
 1955m7,1955,7,19
 1955m8,1955,8,15
 1955m9,1955,9,14
1955m10,1955,10,15
1955m11,1955,11,15
1955m12,1955,12,9
 1956m1,1956,1,11
 1956m2,1956,2,12
 1956m3,1956,3,9
 1956m4,1956,4,11
 1956m5,1956,5,18
 1956m6,1956,6,12
 1956m7,1956,7,13
 1956m8,1956,8,11
 1956m9,1956,9,0
1956m10,1956,10,18
1956m11,1956,11,2
1956m12,1956,12,10
 1957m1,1957,1,6
 1957m2,1957,2,-2
 1957m3,1957,3,-1
